,1,2,3,4,5
Population 626,384665.0,8872.0,8.0,,
Population 627,589287.0,29621.0,283.0,,
Population 628,348433.0,6381.0,16.0,,
Population 629,255198.0,19243.0,61.0,,
Population 630,870391.0,24979.0,190.0,,
Population 631,868513.0,13430.0,36.0,1.0,
Population 632,86759.0,394.0,,,
Population 633,173830.0,621681.0,17055.0,20.0,
Population 634,240482.0,38735.0,185.0,,
Population 635,150090.0,1244.0,,,
Population 636,428244.0,5009.0,1.0,,
Population 637,167730.0,1110.0,,,
Population 638,504726.0,4051.0,4.0,,
Population 639,514548.0,15153.0,70.0,,
Population 640,238468.0,2209.0,7.0,,
Population 641,222897.0,4023.0,16.0,,
Population 642,585822.0,4729.0,1.0,,
Population 643,134942.0,1972.0,7.0,,
Population 644,602932.0,6129.0,5.0,,
Population 645,113878.0,4895.0,14.0,,
Population 646,261254.0,2180.0,2.0,,
Population 647,214597.0,4781.0,26.0,,
Population 648,530531.0,6377.0,13.0,,
Population 649,849120.0,10225.0,34.0,,
Population 650,533078.0,7800.0,16.0,,
Population 651,564477.0,3388.0,,,
Population 652,398719.0,2983.0,,,
Population 653,335796.0,26516.0,86.0,,
Population 654,242198.0,34999.0,89.0,,
Population 655,794711.0,28712.0,85.0,,
Population 656,68547.0,625.0,11.0,,
Population 657,232347.0,2504.0,3.0,,
Population 658,561396.0,10385.0,34.0,,
Population 659,299687.0,4202.0,8.0,,
Population 660,828029.0,36302.0,147.0,,
