,1,2,3,4
Population 586,8178.0,41.0,,
Population 587,7117.0,28.0,,
Population 588,16326.0,67.0,,
Population 589,7700.0,45.0,,
Population 590,9488.0,53.0,,
Population 591,35544.0,84.0,,
Population 592,31175.0,65.0,,
Population 593,17199.0,72.0,,
Population 594,15529.0,72.0,,
Population 595,9874.0,54.0,,
Population 596,8147.0,23.0,,
Population 597,7295.0,5.0,,
Population 598,10176.0,35.0,,
Population 599,12587.0,66.0,,
Population 600,6064.0,10.0,,
Population 601,9305.0,17.0,,
Population 602,8120.0,38.0,,
Population 603,9611.0,31.0,,
Population 604,7518.0,7.0,,
Population 605,10727.0,29.0,,
Population 606,7328.0,44.0,,
Population 607,20257.0,103.0,,
Population 608,13140.0,89.0,,
Population 609,7228.0,19.0,,
Population 610,28200.0,1237.0,,
Population 611,11276.0,36.0,,
Population 612,8472.0,30.0,,
Population 613,10188.0,6.0,,
Population 614,8598.0,9.0,,
Population 615,7363.0,6.0,,
Population 616,7779.0,46.0,,
Population 617,8572.0,16.0,,
Population 618,10354.0,81.0,,
Population 619,7519.0,31.0,,
Population 620,7322.0,33.0,,
Population 621,9370.0,8.0,,
Population 622,10614.0,19.0,,
Population 623,14001.0,228.0,2.0,
Population 624,12294.0,31.0,,
Population 625,27049.0,293.0,,
Population 626,14570.0,163.0,,
Population 627,21671.0,50.0,,
Population 628,9787.0,28.0,,
Population 629,10420.0,22.0,,
Population 630,10357.0,93.0,,
Population 631,9156.0,11.0,,
Population 632,385472.0,3672.0,7.0,
Population 633,9402.0,104.0,,
Population 634,11221.0,90.0,,
Population 635,78855.0,626.0,,
Population 636,36283.0,190.0,1.0,
Population 637,9845.0,11.0,,
Population 638,14453.0,74.0,,
Population 639,18891.0,108.0,,
Population 640,15122.0,9.0,,
Population 641,8039.0,22.0,,
Population 642,13424.0,15.0,,
Population 643,11570.0,46.0,,
Population 644,16513.0,94.0,,
Population 645,12473.0,147.0,,
Population 646,11564.0,61.0,,
Population 647,6655.0,14.0,,
Population 648,24738.0,98.0,,
Population 649,14876.0,135.0,,
Population 650,13101.0,144.0,,
Population 651,10615.0,215.0,,
Population 652,11453.0,35.0,,
Population 653,12542.0,28.0,,
Population 654,7429.0,27.0,,
Population 655,11409.0,123.0,,
Population 656,7235.0,11.0,,
Population 657,8408.0,22.0,,
Population 658,11941.0,34.0,,
Population 659,7962.0,18.0,,
Population 660,10692.0,172.0,,
Population 661,10549.0,14.0,,
Population 662,14343.0,16.0,,
Population 663,6865.0,24.0,,
Population 664,9833.0,1390.0,12.0,
Population 665,20109.0,46.0,,
Population 666,15563.0,47.0,,
Population 667,9683.0,11.0,,
Population 668,7791.0,25.0,,
Population 669,37261.0,270.0,,
Population 670,8933.0,8.0,,
Population 671,7344.0,23.0,,
Population 672,11892.0,92.0,,
Population 673,11214.0,34.0,,
Population 674,32137.0,76.0,,
Population 675,8489.0,23.0,,
Population 676,8948.0,52.0,,
Population 677,13500.0,52.0,,
Population 678,11035.0,23.0,,
Population 679,10417.0,41.0,,
Population 680,11434.0,67.0,,
Population 681,11997.0,37.0,,
Population 682,28705.0,184.0,,
Population 683,17046.0,27.0,,
Population 684,47693.0,800.0,12.0,
Population 685,21925.0,207.0,,
Population 686,12912.0,54.0,,
