,1,2,3,4,5
Population 602,931084.0,65534.0,326.0,,
Population 603,963485.0,16919.0,35.0,,
Population 604,441306.0,97433.0,568.0,,
Population 605,466678.0,104594.0,563.0,,
Population 606,682948.0,9680.0,15.0,,
Population 607,915606.0,81071.0,420.0,,
Population 608,655485.0,36773.0,90.0,,
Population 609,612635.0,383526.0,3520.0,17.0,
Population 610,510038.0,11872.0,5.0,,
Population 611,460285.0,253905.0,2016.0,309.0,4.0
Population 612,723226.0,14133.0,29.0,,
Population 613,716754.0,183204.0,1634.0,,
Population 614,552472.0,10762.0,13.0,,
Population 615,711395.0,14445.0,32.0,,
Population 616,443354.0,73907.0,704.0,,
Population 617,315590.0,3510.0,3.0,,
Population 618,353636.0,606939.0,5450.0,7.0,
Population 619,352829.0,12383.0,46.0,,
Population 620,437539.0,121365.0,619.0,,
Population 621,751317.0,8472.0,17.0,,
Population 622,796863.0,19428.0,486.0,,
Population 623,540283.0,2443.0,10.0,,
Population 624,729117.0,21840.0,193.0,,
Population 625,396682.0,7354.0,11.0,,
Population 626,686742.0,12648.0,130.0,,
Population 627,831385.0,45581.0,199.0,,
Population 628,586202.0,384289.0,6455.0,27.0,
Population 629,666759.0,14941.0,24.0,,
Population 630,897961.0,44087.0,236.0,,
Population 631,918831.0,12240.0,19.0,,
